Date,open,high,low,close,adjclose,volume,ingested_at_utc
25-11-2020,183500,184000,178000,179500,143871.625,2082764,2026-02-19 06:47:45.287325+00:00
26-11-2020,179500,181000,178000,179000,143470.875,1260429,2026-02-19 06:47:45.287325+00:00
27-11-2020,179000,181000,178000,181000,145073.8906,1033868,2026-02-19 06:47:45.287325+00:00
30-11-2020,181500,188500,181500,181500,145474.6719,3981271,2026-02-19 06:47:45.287325+00:00
01-12-2020,183000,184500,179500,183500,147077.6563,1792800,2026-02-19 06:47:45.287325+00:00
02-12-2020,183500,184500,181500,182500,146276.1563,1745795,2026-02-19 06:47:45.287325+00:00
03-12-2020,183500,196500,182000,196500,157497.3438,6053809,2026-02-19 06:47:45.287325+00:00
04-12-2020,198000,199000,195000,196500,157497.3438,3224702,2026-02-19 06:47:45.287325+00:00
07-12-2020,195500,198500,190500,193500,155092.7969,2519339,2026-02-19 06:47:45.287325+00:00
08-12-2020,191000,192000,186000,186500,149482.2188,3181249,2026-02-19 06:47:45.287325+00:00
09-12-2020,188000,192000,187000,191500,153489.7813,1805987,2026-02-19 06:47:45.287325+00:00
10-12-2020,189000,194000,188000,191500,153489.7813,2187019,2026-02-19 06:47:45.287325+00:00
11-12-2020,193000,194500,190000,190000,152287.5,1644559,2026-02-19 06:47:45.287325+00:00
14-12-2020,190500,191000,187000,189000,151485.9844,1259459,2026-02-19 06:47:45.287325+00:00
15-12-2020,189000,190500,186000,188500,151085.2344,1355388,2026-02-19 06:47:45.287325+00:00
16-12-2020,190000,193500,189500,190000,152287.5,1268117,2026-02-19 06:47:45.287325+00:00
17-12-2020,190000,190500,188000,190500,152688.2813,974859,2026-02-19 06:47:45.287325+00:00
18-12-2020,191000,191000,189000,189000,151485.9844,930831,2026-02-19 06:47:45.287325+00:00
21-12-2020,188500,189000,185000,187000,149882.9531,1120752,2026-02-19 06:47:45.287325+00:00
22-12-2020,186000,186500,183000,184000,147478.4219,1381697,2026-02-19 06:47:45.287325+00:00
23-12-2020,183000,188500,183000,185000,148279.9219,1301433,2026-02-19 06:47:45.287325+00:00
24-12-2020,185000,189000,185000,187000,149882.9531,1061140,2026-02-19 06:47:45.287325+00:00
28-12-2020,189000,193000,187500,189500,151886.7344,2410348,2026-02-19 06:47:45.287325+00:00
29-12-2020,191000,191500,188000,190500,155144.3906,1488327,2026-02-19 06:47:45.287325+00:00
30-12-2020,190500,193500,189000,192000,156365.9844,1361340,2026-02-19 06:47:45.287325+00:00
04-01-2021,194000,211000,193500,207500,168989.2656,5651695,2026-02-19 06:47:45.287325+00:00
05-01-2021,207000,213000,205000,209500,170618.1094,3022595,2026-02-19 06:47:45.287325+00:00
06-01-2021,209500,211500,202500,203000,165324.4375,2848547,2026-02-19 06:47:45.287325+00:00
07-01-2021,206000,210500,204500,206000,167767.6563,2478337,2026-02-19 06:47:45.287325+00:00
08-01-2021,240500,257000,225000,246000,200343.8906,19933702,2026-02-19 06:47:45.287325+00:00
11-01-2021,256500,289000,256000,267500,217853.6563,14433887,2026-02-19 06:47:45.287325+00:00
12-01-2021,263500,274500,250500,261000,212559.9844,8040182,2026-02-19 06:47:45.287325+00:00
13-01-2021,259500,265000,250000,259000,210931.2031,5805649,2026-02-19 06:47:45.287325+00:00
14-01-2021,251000,255500,248500,250500,204008.75,3389733,2026-02-19 06:47:45.287325+00:00
15-01-2021,252000,255000,239000,240000,195457.5,3915078,2026-02-19 06:47:45.287325+00:00
18-01-2021,237500,246500,234000,241000,196271.875,3387635,2026-02-19 06:47:45.287325+00:00
19-01-2021,244000,261500,244000,261500,212967.2188,4976690,2026-02-19 06:47:45.287325+00:00
20-01-2021,271000,277000,254000,259000,210931.2031,5305494,2026-02-19 06:47:45.287325+00:00
21-01-2021,264000,266500,259500,264500,215410.4531,2593509,2026-02-19 06:47:45.287325+00:00
22-01-2021,261000,263000,257000,257000,209302.375,2093127,2026-02-19 06:47:45.287325+00:00
25-01-2021,253000,262000,251500,260000,211745.625,1895263,2026-02-19 06:47:45.287325+00:00
26-01-2021,260500,260500,250500,251500,204823.1406,1846817,2026-02-19 06:47:45.287325+00:00
27-01-2021,252000,254500,245000,245500,199936.7188,2190994,2026-02-19 06:47:45.287325+00:00
28-01-2021,238000,243500,236500,238500,194235.8438,2033262,2026-02-19 06:47:45.287325+00:00
29-01-2021,242000,242500,227000,229000,186499,2663404,2026-02-19 06:47:45.287325+00:00
01-02-2021,229000,238500,224500,238500,194235.8438,1798912,2026-02-19 06:47:45.287325+00:00
02-02-2021,241500,243500,236000,240500,195864.6719,1519973,2026-02-19 06:47:45.287325+00:00
03-02-2021,245000,252500,242500,245500,199936.7188,2983093,2026-02-19 06:47:45.287325+00:00
04-02-2021,251500,253000,244000,248500,202379.9063,1907305,2026-02-19 06:47:45.287325+00:00
05-02-2021,249500,250500,243000,249500,203194.3594,1539977,2026-02-19 06:47:45.287325+00:00
08-02-2021,238000,240500,228500,234000,190571.0313,3212977,2026-02-19 06:47:45.287325+00:00
09-02-2021,232500,240500,232500,236500,192607.0625,1391614,2026-02-19 06:47:45.287325+00:00
10-02-2021,239000,246000,235000,245000,199529.5313,1233628,2026-02-19 06:47:45.287325+00:00
